Date,Open,High,Low,Close,Volume,Market Cap
Dec 05 2017,0.897703,0.899130,0.813719,0.816170,12,-
Dec 04 2017,0.857486,1.01,0.696452,0.888765,9035,-
Dec 03 2017,0.733679,0.980506,0.665659,0.866100,2341,-
Dec 02 2017,0.458039,0.799821,0.449971,0.728294,69648,-
Dec 01 2017,0.358508,0.459472,0.334955,0.459472,23319,-
Nov 30 2017,0.321312,0.375911,0.301869,0.360425,48845,-
Nov 29 2017,0.392552,0.445228,0.315676,0.321154,1,-
Nov 28 2017,0.308338,0.400817,0.288058,0.390942,21747,-
Nov 27 2017,0.256508,0.426307,0.256508,0.311628,28380,-
Nov 26 2017,0.229687,0.311476,0.198173,0.254033,3821,-
Nov 25 2017,0.214245,0.275664,0.214245,0.228599,2287,-
Nov 24 2017,0.202015,0.253018,0.177085,0.213375,10674,-
Nov 23 2017,0.252310,0.252310,0.203975,0.203975,17560,-
Nov 22 2017,0.270476,0.281755,0.237239,0.250360,13768,-
Nov 21 2017,0.180494,0.269713,0.180494,0.251862,8304,-
Nov 20 2017,0.153894,0.194449,0.149886,0.180499,6178,-
Nov 19 2017,0.156380,0.160059,0.151399,0.155335,4937,-
Nov 18 2017,0.139886,0.151429,0.138047,0.151429,2224,-
Nov 17 2017,0.136853,0.141143,0.135783,0.139271,6514,-
Nov 16 2017,0.132709,0.144234,0.131179,0.139063,6491,-
Nov 15 2017,0.135739,0.139241,0.132550,0.137991,3802,-
Nov 14 2017,0.127884,0.136538,0.124775,0.134166,1807,-
Nov 13 2017,0.124222,0.131840,0.122598,0.127338,3357,-
Nov 12 2017,0.132812,0.134109,0.117290,0.120287,3140,-
Nov 11 2017,0.128047,0.139462,0.119458,0.136259,2968,-
Nov 10 2017,0.142392,0.144037,0.122945,0.128898,3682,-
Nov 09 2017,0.129618,0.150492,0.129400,0.142841,2800,-
Nov 08 2017,0.121511,0.129394,0.115874,0.127963,3871,-
Nov 07 2017,0.115475,0.118351,0.112648,0.117549,4619,-
Nov 06 2017,0.110955,0.117674,0.110558,0.111398,6597,-
Nov 05 2017,0.112271,0.117168,0.110176,0.114220,1616,-
Nov 04 2017,0.113126,0.116237,0.111517,0.113333,2442,-
Nov 03 2017,0.118067,0.140537,0.112739,0.115181,4744,-
Nov 02 2017,0.110347,0.128307,0.102397,0.122460,3695,-
Nov 01 2017,0.115799,0.117606,0.110667,0.112375,796,-
Oct 31 2017,0.117346,0.118580,0.115538,0.116610,11090,-
Oct 30 2017,0.118592,0.119312,0.116282,0.117024,4825,-
Oct 29 2017,0.116459,0.121991,0.115673,0.119015,3781,-
Oct 28 2017,0.119300,0.120738,0.110790,0.110804,4689,-
Oct 27 2017,0.121219,0.121219,0.116232,0.118684,6826,-
Oct 26 2017,0.123490,0.125830,0.118808,0.120200,1771,-
Oct 25 2017,0.123630,0.123630,0.118756,0.121678,1409,-
Oct 24 2017,0.122665,0.130920,0.120970,0.122239,1074,-
Oct 23 2017,0.121899,0.121899,0.113210,0.116498,2933,-
Oct 22 2017,0.123544,0.128664,0.119917,0.122249,696,-
Oct 21 2017,0.125367,0.126677,0.116793,0.124427,1527,-
Oct 20 2017,0.130296,0.133245,0.124836,0.126137,2102,-
Oct 19 2017,0.126377,0.131958,0.122476,0.130229,1008,-
Oct 18 2017,0.132581,0.134047,0.122902,0.133511,1327,-
Oct 17 2017,0.135457,0.138091,0.131606,0.134224,1946,-
Oct 16 2017,0.134591,0.149853,0.129898,0.138360,4211,-
Oct 15 2017,0.140618,0.140618,0.129575,0.134311,1647,-
Oct 14 2017,0.110372,0.148793,0.109512,0.137571,8675,-
Oct 13 2017,0.109240,0.111161,0.102296,0.111161,5545,-
Oct 12 2017,0.131477,0.134328,0.103085,0.109640,2637,-
Oct 11 2017,0.131663,0.135222,0.125031,0.133539,3791,-
Oct 10 2017,0.133137,0.141153,0.129169,0.133120,822,-
Oct 09 2017,0.136272,0.139113,0.121213,0.125408,2186,-
Oct 08 2017,0.164003,0.164180,0.134794,0.137781,3549,-
Oct 07 2017,0.132586,0.169413,0.132127,0.160108,2296,-
Oct 06 2017,0.127620,0.141134,0.124502,0.132632,4244,-
Oct 05 2017,0.124025,0.128573,0.119864,0.126317,2677,-
Oct 04 2017,0.133578,0.134269,0.124744,0.126377,3895,-
Oct 03 2017,0.141871,0.141901,0.126375,0.133735,2322,-
Oct 02 2017,0.144022,0.220945,0.137643,0.142366,5166,-
Oct 01 2017,0.150868,0.231283,0.143821,0.146323,7982,-
Sep 30 2017,0.140285,0.151663,0.138518,0.151663,1033,-
Sep 29 2017,0.137705,0.145258,0.132125,0.141200,5615,-
Sep 28 2017,0.152524,0.157253,0.135435,0.144779,8857,-
Sep 27 2017,0.131112,0.147459,0.130813,0.147459,1162,-
Sep 26 2017,0.130197,0.136974,0.125225,0.131622,2349,-
Sep 25 2017,0.121124,0.128020,0.120028,0.127193,7716,-
Sep 24 2017,0.122052,0.122052,0.118023,0.119215,4966,-
Sep 23 2017,0.116754,0.126911,0.115478,0.123362,678,-
Sep 22 2017,0.119922,0.121713,0.109907,0.117641,1455,-
Sep 21 2017,0.134759,0.134919,0.115384,0.118226,1460,-
Sep 20 2017,0.133460,0.143120,0.131340,0.133664,900,-
Sep 19 2017,0.145002,0.145242,0.134662,0.138520,1559,-
Sep 18 2017,0.143195,0.156591,0.143195,0.151822,2433,-
Sep 17 2017,0.134532,0.146569,0.116714,0.137357,625,-
Sep 16 2017,0.140182,0.142402,0.124531,0.135052,1980,-
Sep 15 2017,0.122880,0.145542,0.090020,0.137402,2542,-
Sep 14 2017,0.155220,0.155220,0.117523,0.117863,1872,-
Sep 13 2017,0.169255,0.169255,0.144240,0.154780,1176,-
Sep 12 2017,0.169156,0.188340,0.163643,0.169414,945,-
Sep 11 2017,0.178500,0.179870,0.162082,0.169496,1901,-
Sep 10 2017,0.183184,0.183220,0.153137,0.178500,2351,-
Sep 09 2017,0.186868,0.191726,0.171942,0.184644,2121,-
Sep 08 2017,0.225060,0.229060,0.173760,0.190266,3756,-
Sep 07 2017,0.209482,0.221301,0.209482,0.213760,1756,-
Sep 06 2017,0.200220,0.216861,0.185840,0.215581,1641,-
Sep 05 2017,0.157927,0.187740,0.156927,0.182880,2051,-
Sep 04 2017,0.207629,0.212989,0.167818,0.181567,1223,-
Sep 03 2017,0.221200,0.228120,0.202100,0.209769,2266,-
Sep 02 2017,0.353670,0.375885,0.325501,0.329903,3302,-
Sep 01 2017,0.227759,0.243506,0.226752,0.238535,835,-
Aug 31 2017,0.228440,0.228959,0.223800,0.227082,517,-
Aug 30 2017,0.221680,0.226780,0.220000,0.226400,1233,-
Aug 29 2017,0.226823,0.227243,0.219061,0.221521,1556,-
Aug 28 2017,0.231680,0.231680,0.218860,0.226503,408,-
Aug 27 2017,0.221280,0.236780,0.216520,0.230580,1099,-
Aug 26 2017,0.225900,0.225900,0.211120,0.220260,557,-
Aug 25 2017,0.230343,0.233783,0.220503,0.226480,2302,-
Aug 24 2017,0.245900,0.245900,0.237880,0.243162,2217,-
Aug 23 2017,0.219120,0.278520,0.217880,0.247240,935,-
Aug 22 2017,0.204520,0.219680,0.204200,0.216280,1307,-
Aug 21 2017,0.226400,0.226400,0.206880,0.216560,2538,-
Aug 20 2017,0.206781,0.231261,0.206781,0.230460,798,-
Aug 19 2017,0.209820,0.215961,0.184700,0.205401,664,-
Aug 18 2017,0.217080,0.218800,0.200400,0.202380,1522,-
Aug 17 2017,0.217000,0.242682,0.216940,0.221480,1379,-
Aug 16 2017,0.222140,0.231760,0.215860,0.217140,4018,-
Aug 15 2017,0.207040,0.236600,0.174743,0.219100,552,-
Aug 14 2017,0.245980,0.253660,0.208960,0.220140,11443,-
Aug 13 2017,0.217140,0.239920,0.217140,0.237500,6696,-
Aug 12 2017,0.254140,0.261560,0.227000,0.234440,680,-
Aug 11 2017,0.264123,0.269482,0.186902,0.250940,199,-
Aug 10 2017,0.283860,0.284740,0.263103,0.264243,1503,-
Aug 09 2017,0.286901,0.294740,0.280200,0.284640,313,-
Aug 08 2017,0.305101,0.307700,0.273786,0.286721,1051,-
Aug 07 2017,0.271787,0.307900,0.265543,0.305101,4674,-
Aug 06 2017,0.292080,0.319407,0.260891,0.262510,2080,-
Aug 05 2017,0.321333,0.368116,0.306087,0.327888,795,-
Aug 04 2017,0.319063,0.374196,0.315503,0.335215,850,-
Aug 03 2017,0.368931,0.377987,0.292015,0.305503,824,-
Aug 02 2017,0.287357,0.439706,0.285737,0.375725,1262,-
Aug 01 2017,0.213160,0.281980,0.213080,0.277620,4873,-
Jul 31 2017,0.214053,0.222915,0.214032,0.216468,216,-
Jul 30 2017,0.197587,0.205980,0.185060,0.198220,3377,-
Jul 29 2017,0.199900,0.202176,0.185387,0.200168,820,-
Jul 28 2017,0.205840,0.210940,0.196580,0.200500,2617,-
Jul 27 2017,0.217620,0.218100,0.202460,0.210700,452,-
Jul 26 2017,0.194083,0.225000,0.191783,0.210360,652,-
Jul 25 2017,0.235160,0.235160,0.187123,0.210660,2199,-
Jul 24 2017,0.254721,0.256021,0.235145,0.248040,1560,-
Jul 23 2017,0.295038,0.299997,0.239309,0.255622,1084,-
Jul 22 2017,0.254740,0.299997,0.254720,0.296437,853,-
Jul 21 2017,0.260014,0.279999,0.245398,0.253500,1952,-
Jul 20 2017,0.178829,0.242697,0.175920,0.224871,2109,-
Jul 19 2017,0.168000,0.203000,0.164960,0.173914,1179,-
Jul 18 2017,0.144940,0.171765,0.144382,0.156847,340,-
Jul 17 2017,0.124000,0.159200,0.123460,0.159200,612,-
Jul 16 2017,0.138940,0.139920,0.116200,0.122700,220,-
Jul 15 2017,0.150744,0.156124,0.133520,0.135420,265,-
Jul 14 2017,0.160240,0.172080,0.091877,0.151296,750,-
Jul 13 2017,0.188714,0.192852,0.153280,0.165840,2720,-
Jul 12 2017,0.156946,0.187712,0.156946,0.174939,403,-
Jul 11 2017,0.162268,0.181342,0.149884,0.158322,878,-
Jul 10 2017,0.206137,0.234007,0.167342,0.167342,874,-
Jul 09 2017,0.239251,0.246655,0.206471,0.206471,1158,-
Jul 08 2017,0.181000,0.236139,0.177572,0.236139,1112,-
Jul 07 2017,0.261660,0.261780,0.201064,0.202270,632,-
Jul 06 2017,0.276620,0.278840,0.250306,0.257460,443,-
Jul 05 2017,0.285360,0.285660,0.265800,0.279280,430,-
Jul 04 2017,0.327140,0.327380,0.273163,0.289100,3947,-
Jul 03 2017,0.262720,0.289058,0.239647,0.278180,5387,-
Jul 02 2017,0.279726,0.332640,0.279726,0.324456,649,-
Jul 01 2017,0.297440,0.321750,0.252740,0.266720,6218,-
Jun 30 2017,0.313300,0.326100,0.305938,0.307980,1839,-
Jun 29 2017,0.311049,0.333880,0.307020,0.314280,885,-
Jun 28 2017,0.320920,0.360000,0.311000,0.334560,619,-
Jun 27 2017,0.341160,0.356960,0.282520,0.329320,2743,-
Jun 26 2017,0.341807,0.345609,0.267420,0.302020,912,-
Jun 25 2017,0.351020,0.403540,0.318340,0.329700,3487,-
Jun 24 2017,0.346040,0.370560,0.314446,0.345700,2140,-
Jun 23 2017,0.336200,0.353380,0.335460,0.341460,4419,-
Jun 22 2017,0.339720,0.359410,0.331076,0.336200,3387,-
Jun 21 2017,0.369840,0.369840,0.321400,0.334900,6281,-
Jun 20 2017,0.338700,0.376040,0.330820,0.340420,4545,-
Jun 19 2017,0.326360,0.380000,0.326360,0.342760,3699,-
Jun 18 2017,0.345820,0.349840,0.301920,0.316940,2744,-
Jun 17 2017,0.313097,0.369640,0.308266,0.343160,4767,-
Jun 16 2017,0.285437,0.360000,0.285437,0.327828,2608,-
Jun 15 2017,0.301680,0.703750,0.139920,0.289380,4094,-
Jun 14 2017,0.370720,1.86,0.333700,0.345540,5199,-
Jun 13 2017,0.425389,0.448933,0.360700,0.364360,4778,-
Jun 11 2017,0.260675,0.263076,0.000012,0.000013,0,-
Jun 10 2017,0.275940,0.315555,0.014575,0.228393,405,-
Jun 09 2017,0.208206,0.272633,0.208206,0.230139,5308,-
Jun 08 2017,0.175862,0.197508,0.170532,0.197508,3742,-
Jun 07 2017,0.166415,0.186521,0.128511,0.176789,4177,-
Jun 06 2017,0.161589,0.167024,0.150557,0.164574,3009,-
