Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.088758,0.095141,0.088045,0.089980,2153430,20122900
Mar 30 2018,0.088429,0.092561,0.080818,0.088517,2145740,20048300
Mar 29 2018,0.101754,0.102223,0.087006,0.088470,2195760,23069400
Mar 28 2018,0.103579,0.104666,0.099888,0.101654,2598540,23483100
Mar 27 2018,0.110146,0.112141,0.100451,0.103371,4241090,24971900
Mar 26 2018,0.115925,0.116629,0.101131,0.110016,6490150,26282100
Mar 25 2018,0.112604,0.119907,0.108341,0.116401,6657640,25529200
Mar 24 2018,0.127077,0.127077,0.112733,0.114053,6665020,28810500
Mar 23 2018,0.118719,0.125578,0.112164,0.125578,7396730,26915400
Mar 22 2018,0.129800,0.134616,0.116048,0.118731,6341410,29427600
Mar 21 2018,0.115882,0.138720,0.115058,0.129743,7919900,26272300
Mar 20 2018,0.112187,0.118870,0.107870,0.115790,4382110,25434600
Mar 19 2018,0.106654,0.112572,0.103028,0.111177,3862800,24180000
Mar 18 2018,0.115808,0.115808,0.090843,0.106690,2136460,26255500
Mar 17 2018,0.131214,0.132331,0.112689,0.115990,2626020,29748400
Mar 16 2018,0.113375,0.147658,0.108833,0.130841,3062830,25703900
Mar 15 2018,0.112457,0.114942,0.105914,0.113479,2283540,25495900
Mar 14 2018,0.136388,0.138832,0.100363,0.112384,4305910,30921200
Mar 13 2018,0.137590,0.144214,0.133735,0.135912,2475950,31193900
Mar 12 2018,0.140032,0.164893,0.135428,0.137916,2723350,31747500
Mar 11 2018,0.166474,0.172743,0.139075,0.139075,2561500,37742300
Mar 10 2018,0.177620,0.181167,0.165681,0.167004,1536940,40269200
Mar 09 2018,0.167865,0.178318,0.142744,0.177631,3280890,38057700
Mar 08 2018,0.193521,0.197088,0.162960,0.168231,1771860,43874200
Mar 07 2018,0.206899,0.209708,0.183852,0.193011,1896120,46907200
Mar 06 2018,0.234587,0.234587,0.199829,0.206870,1983450,53184500
Mar 05 2018,0.236280,0.238478,0.231073,0.234263,1842180,53568500
Mar 04 2018,0.231371,0.237383,0.220967,0.235883,1729450,52455500
Mar 03 2018,0.244496,0.247310,0.229538,0.230629,2071800,55431100
Mar 02 2018,0.240548,0.248046,0.233732,0.244880,2223050,54536100
Mar 01 2018,0.226478,0.242215,0.225302,0.240911,2281160,51346100
Feb 28 2018,0.235171,0.239792,0.219484,0.226454,2382540,53317100
Feb 27 2018,0.239273,0.246224,0.227929,0.236196,2830480,-
Feb 26 2018,0.242813,0.257618,0.207800,0.238007,3766700,-
Feb 25 2018,0.269683,0.273478,0.226933,0.244395,2887580,-
Feb 24 2018,0.242555,0.273599,0.231146,0.271940,3332220,-
Feb 23 2018,0.226283,0.243003,0.220977,0.243003,1949670,-
Feb 22 2018,0.218559,0.238024,0.205857,0.226538,1499070,-
Feb 21 2018,0.230119,0.232457,0.212931,0.219570,2192110,-
Feb 20 2018,0.245503,0.248900,0.229538,0.230879,2315410,-
Feb 19 2018,0.231747,0.245565,0.229375,0.244391,2637190,-
Feb 18 2018,0.232257,0.241063,0.218829,0.232627,2140910,-
Feb 17 2018,0.225759,0.234099,0.222008,0.232010,1787720,-
Feb 16 2018,0.232547,0.263635,0.224981,0.225965,2761950,-
Feb 15 2018,0.205844,0.233453,0.183230,0.233162,3020380,-
Feb 14 2018,0.218642,0.218642,0.181219,0.206990,2534340,-
Feb 13 2018,0.250357,0.259830,0.185502,0.218737,766196,-
Feb 12 2018,0.239937,0.265375,0.227326,0.259413,648349,-
Feb 11 2018,0.251108,0.274655,0.227730,0.238910,802506,-
Feb 10 2018,0.287365,0.328361,0.225899,0.251524,1451980,-
Feb 09 2018,0.276497,0.293494,0.246261,0.287466,576660,-
Feb 08 2018,0.311490,0.335947,0.251113,0.276159,907429,-
Feb 07 2018,0.296638,0.355301,0.276534,0.312378,1470990,-
Feb 06 2018,0.218639,0.325845,0.167720,0.302605,1472550,-
Feb 05 2018,0.351109,0.373348,0.180670,0.214790,1517540,-
Feb 04 2018,0.405879,0.405879,0.320406,0.354551,1896250,-
Feb 03 2018,0.256792,0.409775,0.256792,0.409775,1374880,-
Feb 02 2018,0.390444,0.390444,0.233554,0.253454,1158460,-
Feb 01 2018,0.338560,0.429283,0.333930,0.392092,1700280,-
Jan 31 2018,0.318426,0.409977,0.301406,0.351051,1694220,-
Jan 30 2018,0.326640,0.327671,0.293772,0.316473,1766030,-
