Date,Open,High,Low,Close,Volume,Market Cap
Jan 07 2018,0.031280,0.050085,0.029178,0.049220,222683,10099500
Jan 06 2018,0.028350,0.033189,0.026006,0.030863,47837,9122530
Jan 05 2018,0.031000,0.031000,0.021485,0.028319,48597,9941560
Jan 04 2018,0.029429,0.032985,0.027049,0.031012,69728,9405780
Jan 03 2018,0.037590,0.038048,0.022116,0.029297,45558,11974300
Jan 02 2018,0.038745,0.040531,0.030977,0.037675,83529,12304300
Jan 01 2018,0.038360,0.041603,0.035060,0.038739,71371,12142000
Dec 31 2017,0.030195,0.039696,0.030118,0.038224,97946,9524230
Dec 30 2017,0.040649,0.043084,0.025527,0.030514,89822,12776500
Dec 29 2017,0.039546,0.045463,0.036994,0.041128,198615,12259200
Dec 28 2017,0.030350,0.040080,0.029386,0.038620,188611,9408360
Dec 27 2017,0.021302,0.036642,0.019523,0.030413,184031,6603600
Dec 26 2017,0.016596,0.022779,0.014155,0.021284,49745,5144770
Dec 25 2017,0.018343,0.020929,0.011550,0.016611,22835,4982890
Dec 24 2017,0.012690,0.033492,0.010370,0.018698,125609,3447280
Dec 23 2017,0.007070,0.014966,0.006685,0.012017,79487,1920500
Dec 22 2017,0.007216,0.007975,0.005145,0.007004,9040,1960270
Dec 21 2017,0.006823,0.008669,0.006649,0.006881,20027,1853420
Dec 20 2017,0.006670,0.008190,0.005878,0.006805,11011,1811840
Dec 19 2017,0.006917,0.008382,0.005910,0.006676,12068,1878920
Dec 18 2017,0.009989,0.010276,0.006801,0.006911,15898,2713590
Dec 17 2017,0.011616,0.013165,0.009079,0.009977,39775,3155440
Dec 16 2017,0.005320,0.011063,0.004839,0.011063,29159,1445200
Dec 15 2017,0.008778,0.010273,0.004132,0.004826,24524,2384650
Dec 14 2017,0.006878,0.008947,0.006310,0.008784,12289,1868360
Dec 13 2017,0.005701,0.007325,0.005402,0.006900,9832,1548720
Dec 12 2017,0.005051,0.006590,0.004934,0.005869,9677,1372130
Dec 11 2017,0.004422,0.006167,0.004402,0.005035,7569,1201150
Dec 10 2017,0.004060,0.005477,0.003315,0.004454,6510,1102950
Dec 09 2017,0.004554,0.004621,0.003182,0.004194,3801,1237080
Dec 08 2017,0.004339,0.004558,0.003185,0.004558,2670,1178670
Dec 07 2017,0.004670,0.004780,0.002954,0.004329,5984,1268680
Dec 06 2017,0.004095,0.005085,0.003845,0.004678,15071,1112500
Dec 05 2017,0.003264,0.004123,0.003227,0.004104,4291,886613
Dec 04 2017,0.003485,0.003592,0.003021,0.003257,2602,946702
Dec 03 2017,0.003607,0.004224,0.003282,0.003473,3095,979982
Dec 02 2017,0.003592,0.004625,0.003379,0.003604,2469,975739
Dec 01 2017,0.002698,0.004221,0.002554,0.003595,8669,732959
Nov 30 2017,0.002654,0.003014,0.002340,0.002712,682,720901
Nov 29 2017,0.002780,0.003533,0.002455,0.002614,3638,755152
Nov 28 2017,0.002634,0.002990,0.002512,0.002783,969,715524
Nov 27 2017,0.002702,0.003061,0.002448,0.002627,1727,734045
Nov 26 2017,0.002711,0.003135,0.002512,0.002702,1364,736550
Nov 25 2017,0.002873,0.003044,0.002449,0.002712,1589,780596
Nov 24 2017,0.002250,0.002895,0.002250,0.002879,2227,611324
Nov 23 2017,0.002632,0.002893,0.002253,0.002253,704,715010
Nov 22 2017,0.002762,0.003434,0.002035,0.002633,3508,-
Nov 21 2017,0.002143,0.003927,0.002143,0.002752,3340,-
Nov 20 2017,0.002169,0.002471,0.001763,0.002142,2209,-
Nov 19 2017,0.002959,0.002964,0.001836,0.002173,4433,-
Nov 18 2017,0.004897,0.005116,0.002327,0.002574,7454,-
Nov 17 2017,0.004428,0.007393,0.003905,0.004938,7995,-
Nov 16 2017,0.003558,0.005422,0.003558,0.005422,14645,-
