Date,Open,High,Low,Close,Volume,Market Cap
Jan 13 2018,6.47,6.93,6.42,6.93,125739000,-
Jan 12 2018,6.33,6.44,6.06,6.44,113888000,-
Jan 11 2018,6.04,6.39,6.04,6.33,126392000,-
Jan 10 2018,6.13,6.16,5.99,6.04,162404000,-
Jan 09 2018,6.04,6.18,5.97,6.15,83345200,-
Jan 08 2018,6.08,6.12,5.93,6.04,104495000,-
Jan 07 2018,5.83,6.16,5.79,6.08,140525000,-
Jan 06 2018,5.78,5.91,5.76,5.83,84547200,-
Jan 05 2018,5.60,5.78,5.60,5.78,123796000,-
Jan 04 2018,5.78,5.78,5.46,5.60,121547000,-
Jan 03 2018,5.58,5.75,5.34,5.75,82143100,-
Jan 02 2018,5.45,5.73,5.04,5.60,115738000,-
Jan 01 2018,5.33,5.62,5.09,5.44,108898000,-
Dec 31 2017,5.20,5.48,5.06,5.33,109965000,-
Dec 30 2017,5.06,5.38,5.06,5.20,118479000,-
Dec 29 2017,5.15,5.26,5.01,5.06,34956100,-
Dec 28 2017,5.16,5.20,5.00,5.15,96824600,-
Dec 27 2017,5.09,5.23,5.05,5.16,82757200,-
Dec 26 2017,4.81,5.11,4.78,5.09,75838400,-
Dec 25 2017,4.44,4.81,4.43,4.81,82244200,-
Dec 24 2017,4.69,4.69,4.44,4.44,43102000,-
Dec 23 2017,4.07,4.73,4.07,4.69,50410100,-
Dec 22 2017,5.00,5.24,4.00,4.07,43576900,-
Dec 21 2017,4.99,5.01,4.80,5.00,58789000,-
Dec 20 2017,4.86,5.09,4.80,5.00,75490600,-
Dec 19 2017,5.46,5.56,4.82,4.85,51165500,-
Dec 18 2017,5.46,5.46,5.42,5.46,61418800,-
Dec 17 2017,5.15,5.54,5.15,5.46,19102100,-
Dec 16 2017,4.70,5.15,4.45,5.15,53872600,-
Dec 15 2017,4.68,4.94,4.68,4.70,50414400,-
Dec 14 2017,4.68,4.89,4.59,4.68,47011900,-
Dec 13 2017,4.40,4.71,4.40,4.67,39332700,-
Dec 12 2017,4.25,4.40,4.24,4.40,22996500,-
Dec 11 2017,3.75,4.25,3.75,4.25,21167500,-
Dec 10 2017,3.70,3.75,3.33,3.75,23240000,-
Dec 09 2017,3.71,3.94,3.67,3.70,10459500,-
Dec 08 2017,3.75,3.95,3.71,3.71,10157300,-
Dec 07 2017,3.48,3.75,3.45,3.75,9418600,-
Dec 06 2017,3.05,3.48,2.88,3.48,11872600,-
Dec 05 2017,2.94,3.05,2.94,3.05,12661000,-
Dec 04 2017,3.25,3.25,2.93,2.94,13282700,-
Dec 03 2017,3.00,3.25,2.27,3.25,6407710,-
Dec 02 2017,3.00,3.01,2.25,3.00,9474380,-
Dec 01 2017,2.28,3.00,2.28,3.00,9014570,-
Nov 30 2017,2.76,2.78,1.95,2.28,4230740,-
Nov 29 2017,2.75,2.78,2.64,2.76,8164680,-
Nov 28 2017,2.50,2.65,2.49,2.65,5899400,-
Nov 27 2017,1.95,2.50,1.95,2.50,8306040,-
Nov 26 2017,1.85,1.95,1.31,1.95,3358520,-
Nov 25 2017,1.80,1.85,1.80,1.85,1696900,-
Nov 24 2017,1.75,1.81,1.75,1.80,5112910,-
Nov 23 2017,1.69,1.75,0.576554,1.75,4143730,-
Nov 22 2017,1.68,1.69,1.68,1.69,2404650,-
Nov 21 2017,1.55,1.69,1.54,1.68,1491250,-
Nov 20 2017,1.54,1.56,1.15,1.55,1033900,-
Nov 19 2017,1.53,1.54,0.914349,1.54,913750,-
Nov 18 2017,1.53,1.53,1.53,1.53,736206,-
Nov 17 2017,1.50,1.54,0.974809,1.53,320150,-
Nov 16 2017,1.42,1.59,1.37,1.50,212292,-
Nov 15 2017,1.39,1.43,1.39,1.42,70659,-
Nov 14 2017,1.31,1.39,1.29,1.39,7162,-
Nov 13 2017,1.17,1.35,1.17,1.30,1799,-
Nov 12 2017,1.27,1.29,1.11,1.17,861,-
Nov 11 2017,1.31,1.36,1.25,1.27,1146,-
Nov 10 2017,1.43,1.47,1.29,1.32,1320,-
Nov 09 2017,1.49,1.49,1.41,1.42,547,-
Nov 08 2017,1.42,1.57,1.41,1.50,568,-
Nov 07 2017,1.39,1.44,1.39,1.43,571,-
Nov 06 2017,1.48,1.48,1.39,1.39,517,-
Nov 05 2017,1.48,1.52,1.46,1.48,516,-
Nov 04 2017,1.43,1.51,1.40,1.48,585,-
Nov 03 2017,1.40,1.49,1.39,1.44,575,-
Nov 02 2017,1.35,1.46,1.35,1.41,567,-
Nov 01 2017,1.28,1.35,1.28,1.34,797,-
Oct 23 2017,1.20,1.21,1.13,1.17,527,-
Oct 22 2017,1.19,1.21,1.15,1.20,539,-
Oct 21 2017,1.20,1.24,1.19,1.22,979,-
Oct 20 2017,1.14,1.22,1.12,1.20,963,-
Oct 19 2017,1.12,1.15,1.11,1.14,1540,-
Oct 18 2017,1.12,1.12,1.03,1.12,563,-
Oct 17 2017,1.16,1.16,1.11,1.12,504,-
Oct 16 2017,1.14,1.16,1.11,1.16,520,-
Oct 15 2017,1.17,1.17,1.09,1.14,524,-
Oct 14 2017,1.13,1.17,1.12,1.17,526,-
Oct 13 2017,1.09,1.18,1.08,1.13,558,-
Oct 12 2017,0.965247,1.08,0.962762,1.08,683,-
Oct 11 2017,0.952551,0.975060,0.944986,0.964431,617,-
Oct 10 2017,0.957234,0.985658,0.945747,0.952711,500,-
Oct 09 2017,0.915031,0.974025,0.913727,0.957305,517,-
Oct 08 2017,0.888722,0.897064,0.885688,0.893364,36,-
Oct 07 2017,0.874767,0.893202,0.865184,0.891104,36,-
Oct 06 2017,0.874867,0.884925,0.863935,0.874486,512,-
Oct 05 2017,0.844282,0.866324,0.830098,0.862432,15,-
Oct 04 2017,0.863939,0.869403,0.839261,0.843519,14,-
Oct 03 2017,0.880568,0.885559,0.849494,0.861939,15,-
Oct 02 2017,0.878821,0.893118,0.873591,0.880535,9,-
Oct 01 2017,0.868966,0.879208,0.852909,0.879208,3350,-
Sep 30 2017,0.834402,0.871586,0.833617,0.868497,3309,-
Sep 29 2017,0.838723,0.847461,0.809634,0.834296,67,-
Sep 28 2017,0.841499,0.854851,0.827833,0.839371,6298,-
Sep 27 2017,0.777720,0.844897,0.777720,0.841468,1274,-
Sep 26 2017,0.786670,0.796222,0.773035,0.779896,1,-
Sep 25 2017,0.734474,0.793994,0.734204,0.786748,3812,-
Sep 24 2017,0.757702,0.757702,0.727759,0.735219,3046,-
Sep 23 2017,0.721454,0.763085,0.714529,0.757766,5702,-
Sep 22 2017,0.724173,0.752123,0.707147,0.723495,3,-
Sep 21 2017,0.775884,0.781115,0.717455,0.725002,870,-
Sep 20 2017,0.782718,0.809453,0.769127,0.779712,936,-
Sep 19 2017,0.820616,0.824978,0.773101,0.783763,218,-
Sep 18 2017,0.739025,0.825845,0.739025,0.818634,2393,-
Sep 17 2017,0.743392,0.759873,0.697821,0.740501,2,-
Sep 16 2017,0.743799,0.776181,0.711249,0.742231,7,-
Sep 15 2017,0.643906,0.764891,0.597831,0.736952,21,-
Sep 14 2017,0.775462,0.785759,0.644921,0.644921,1870,-
Sep 13 2017,0.833655,0.833655,0.755917,0.775421,5432,-
Sep 12 2017,0.841918,0.875561,0.820509,0.833389,4167,-
Sep 11 2017,0.851485,0.875199,0.837381,0.842189,244,-
Sep 10 2017,0.868489,0.868489,0.809562,0.848802,42,-
Sep 09 2017,0.864089,0.881598,0.841018,0.867569,43,-
Sep 08 2017,0.926576,0.939552,0.828939,0.862544,941,-
Sep 07 2017,0.924910,0.936835,0.899974,0.926823,48,-
Sep 06 2017,0.882996,0.964447,0.882996,0.924529,570,-
Sep 05 2017,0.856774,0.899645,0.811382,0.889711,453,-
Sep 04 2017,0.923489,0.924468,0.830552,0.859836,4299,-
Sep 03 2017,0.921624,0.945468,0.886416,0.923044,5,-
Sep 02 2017,0.984779,0.996316,0.898587,0.919456,416,-
Sep 01 2017,0.947461,0.984016,0.938442,0.983547,1180,-
Aug 31 2017,0.915893,0.952682,0.915736,0.947839,1402,-
Aug 30 2017,0.920037,0.930157,0.898506,0.917494,387,-
Aug 29 2017,0.876278,0.928631,0.869887,0.920575,28,-
Aug 28 2017,0.869563,0.879312,0.839521,0.876421,3202,-
Aug 27 2017,0.869018,0.880323,0.863987,0.868692,5660,-
Aug 26 2017,0.873254,0.875506,0.853929,0.869245,8980,-
Aug 25 2017,0.865750,0.892538,0.859811,0.871579,16710,-
Aug 24 2017,0.826258,0.873444,0.826197,0.867115,1523,-
