Date,Open,High,Low,Close,Volume,Market Cap
Jan 10 2018,3.23,3.45,3.11,3.23,104052,24977200
Jan 09 2018,3.27,3.39,3.11,3.26,108491,25285300
Jan 08 2018,3.19,3.43,2.79,3.28,353178,24618100
Jan 07 2018,3.42,3.61,3.18,3.20,111798,26352400
Jan 06 2018,3.08,3.60,2.95,3.39,146663,23700200
Jan 05 2018,3.22,3.38,2.83,3.08,219030,24684000
Jan 04 2018,3.21,3.38,2.88,3.21,203615,24559600
Jan 03 2018,2.88,3.34,2.59,3.19,347167,21973600
Jan 02 2018,2.74,2.82,2.50,2.70,151049,20858300
Jan 01 2018,2.28,2.86,2.22,2.72,454056,17365100
Dec 31 2017,2.10,2.34,2.04,2.28,55614,15924100
Dec 30 2017,2.34,2.35,1.96,2.10,119682,17722600
Dec 29 2017,2.32,2.50,2.28,2.35,155784,17529900
Dec 28 2017,2.34,2.35,1.87,2.32,105956,17649300
Dec 27 2017,2.31,2.46,2.10,2.33,79329,17407300
Dec 26 2017,2.26,2.43,2.03,2.23,187273,17036200
Dec 25 2017,1.88,2.32,1.79,2.26,148648,14144200
Dec 24 2017,1.96,1.96,1.49,1.88,87481,14730000
Dec 23 2017,1.70,2.11,1.67,1.94,82220,12706500
Dec 22 2017,2.11,2.13,1.17,1.68,178998,15761700
Dec 21 2017,2.20,2.43,1.96,2.10,411679,16441800
Dec 20 2017,2.11,2.28,1.94,2.19,123351,15767300
Dec 19 2017,2.44,2.47,2.05,2.14,158603,18201100
Dec 18 2017,2.36,2.48,2.20,2.44,206966,17546600
Dec 17 2017,2.36,2.58,2.33,2.35,201851,17515800
Dec 16 2017,2.41,3.02,2.20,2.37,563985,17817700
Dec 15 2017,2.28,2.80,2.28,2.41,607208,16829200
Dec 14 2017,2.74,3.15,1.87,2.32,2572170,20268500
Dec 13 2017,1.38,2.51,1.26,2.40,758992,10194500
Dec 12 2017,1.34,1.44,1.26,1.38,179129,9886720
Dec 11 2017,1.52,1.74,1.31,1.34,444092,11199400
Dec 10 2017,1.71,2.11,1.36,1.54,955833,12563500
Dec 09 2017,1.07,1.88,1.00,1.71,942528,7826040
Dec 08 2017,1.54,1.62,0.998906,1.08,467244,11265800
Dec 07 2017,1.09,1.60,0.947558,1.54,773839,7926660
Dec 06 2017,0.900697,1.21,0.761715,1.12,723059,6533460
Dec 05 2017,0.650533,0.908442,0.594077,0.908442,730347,4715210
Dec 04 2017,0.535670,0.679708,0.531737,0.664430,72799,3879990
Dec 03 2017,0.559263,0.595373,0.510607,0.535693,13161,4050400
Dec 02 2017,0.524581,0.564895,0.489656,0.564895,15085,3798900
Dec 01 2017,0.463344,0.525027,0.424553,0.525027,8832,3355040
Nov 30 2017,0.450246,0.525706,0.422023,0.465651,14204,3259840
Nov 29 2017,0.541644,0.598401,0.442150,0.443435,44274,3921180
Nov 28 2017,0.552929,0.629455,0.526134,0.542184,69386,4002480
Nov 27 2017,0.489564,0.589720,0.447137,0.551598,276538,3543430
Nov 26 2017,0.464303,0.511994,0.437003,0.489471,24939,3360270
Nov 25 2017,0.428252,0.468387,0.425603,0.464458,19093,3098990
Nov 24 2017,0.427811,0.441897,0.404713,0.429119,17030,3095070
Nov 23 2017,0.403068,0.491171,0.389457,0.428396,72171,2914810
Nov 22 2017,0.405473,0.435823,0.395601,0.403197,14209,2926510
Nov 21 2017,0.432336,0.436710,0.398262,0.404491,22638,3114800
Nov 20 2017,0.463266,0.478171,0.366993,0.432256,73444,3330170
Nov 19 2017,0.471269,0.479642,0.453776,0.463482,14914,3379510
Nov 18 2017,0.470009,0.515156,0.445256,0.472145,51389,3365510
Nov 17 2017,0.472798,0.485034,0.297681,0.471818,56409,3377700
Nov 16 2017,0.531346,0.535201,0.468022,0.473577,14696,3786550
Nov 15 2017,0.467026,0.547851,0.460766,0.540289,23894,3323340
Nov 14 2017,0.464466,0.486261,0.444812,0.466703,11692,3303350
Nov 13 2017,0.391118,0.476617,0.391118,0.463484,65989,2780970
Nov 12 2017,0.434056,0.434056,0.371769,0.390552,7135,3085600
Nov 11 2017,0.440736,0.451686,0.410031,0.433636,17751,3132260
Nov 10 2017,0.485087,0.500758,0.433710,0.442310,6565,3446390
Nov 09 2017,0.496310,0.505043,0.469044,0.483651,34056,3525210
Nov 08 2017,0.470455,0.509617,0.445016,0.496825,43891,3340020
Nov 07 2017,0.446686,0.498693,0.407315,0.471857,31114,3164480
Nov 06 2017,0.482671,0.544086,0.435033,0.447402,67339,3419070
Nov 05 2017,0.406275,0.546421,0.377317,0.481602,88342,2877580
Nov 04 2017,0.392095,0.432445,0.379816,0.407046,4393,2776900
Nov 03 2017,0.367862,0.404101,0.367862,0.393117,7457,2604930
Nov 02 2017,0.376873,0.395519,0.339459,0.368346,15748,2668220
Nov 01 2017,0.301488,0.409397,0.290192,0.377072,16607,2133820
Oct 31 2017,0.345717,0.361643,0.282523,0.306628,16717,2444540
Oct 30 2017,0.384287,0.389870,0.319704,0.339816,13187,2710570
Oct 29 2017,0.345174,0.402513,0.344776,0.386533,20991,2431740
Oct 28 2017,0.380224,0.385127,0.299063,0.345251,13710,2671790
Oct 27 2017,0.420337,0.420416,0.350967,0.379548,17271,2949860
Oct 26 2017,0.388909,0.457704,0.387318,0.420239,40328,2723010
Oct 25 2017,0.378528,0.405449,0.370903,0.388764,6692,2645990
Oct 24 2017,0.317836,0.415487,0.303808,0.378376,24879,2217870
Oct 23 2017,0.344816,0.360143,0.303346,0.318552,3384,2401390
Oct 22 2017,0.313055,0.353215,0.308698,0.345566,3238,2177380
Oct 21 2017,0.402734,0.402734,0.296205,0.312960,9218,2793590
Oct 20 2017,0.400903,0.443918,0.370906,0.403582,24713,2776560
Oct 19 2017,0.401819,0.429295,0.383096,0.400790,5201,2775960
Oct 18 2017,0.423097,0.423705,0.387251,0.401610,5599,2918590
Oct 17 2017,0.456578,0.456578,0.422212,0.423068,3678,3141210
Oct 16 2017,0.335067,0.456507,0.313945,0.456507,9520,2300460
Oct 15 2017,0.339115,0.340408,0.286867,0.335022,5314,2324360
Oct 14 2017,0.402361,0.421027,0.299855,0.338510,6745,2751460
Oct 13 2017,0.395623,0.426521,0.362981,0.402252,10487,2703800
Oct 12 2017,0.421519,0.448556,0.392059,0.394407,13536,2879750
Oct 11 2017,0.411418,0.433570,0.395422,0.421162,5332,2810590
Oct 10 2017,0.427199,0.437452,0.404267,0.411515,7952,2918290
Oct 09 2017,0.449449,0.494172,0.422470,0.424343,26956,3070190
Oct 08 2017,0.417499,0.468757,0.399745,0.449334,12744,2851800
Oct 07 2017,0.472189,0.479267,0.417337,0.418761,9665,3225260
Oct 06 2017,0.398449,0.485768,0.381860,0.479501,12214,2721470
Oct 05 2017,0.432683,0.453980,0.362039,0.398451,10136,2955210
Oct 04 2017,0.495916,0.495916,0.432043,0.432292,7526,3386900
Oct 03 2017,0.495578,0.498313,0.469077,0.494769,4837,3384400
Oct 02 2017,0.524174,0.525458,0.487596,0.495560,5572,3579460
Oct 01 2017,0.413287,0.529628,0.413287,0.524525,7703,2822110
Sep 30 2017,0.521523,0.528209,0.408498,0.412458,8450,3561010
Sep 29 2017,0.512546,0.525305,0.383638,0.521484,19938,3499530
Sep 28 2017,0.544766,0.564974,0.470602,0.510826,8730,3719250
Sep 27 2017,0.530275,0.588997,0.511619,0.544746,20859,3620070
Sep 26 2017,0.467877,0.541540,0.447085,0.531796,11834,3193890
Sep 25 2017,0.378792,0.468766,0.337644,0.468345,8703,2585620
Sep 24 2017,0.457836,0.479163,0.375310,0.378355,7957,3117880
Sep 23 2017,0.447861,0.478350,0.419427,0.457875,9691,3046080
Sep 22 2017,0.300934,0.459501,0.291986,0.449128,13212,2043590
Sep 21 2017,0.527795,0.561629,0.299489,0.301278,13850,3571110
Sep 20 2017,0.440290,0.573062,0.407838,0.530399,14650,2976510
Sep 19 2017,0.567606,0.594953,0.448753,0.448753,13965,3832370
Sep 18 2017,0.403203,0.589390,0.403203,0.559080,42204,2712770
Sep 17 2017,0.438574,0.491074,0.402626,0.403753,37009,2945830
Sep 16 2017,0.424777,0.448329,0.361819,0.438946,37033,2847280
Sep 15 2017,0.383263,0.437260,0.324420,0.422664,35760,2563080
Sep 14 2017,0.553142,0.572136,0.379871,0.380544,46560,3692410
Sep 13 2017,0.666711,0.666711,0.474100,0.553188,218309,4440790
Sep 12 2017,0.482680,0.793952,0.476404,0.672910,426074,3207610
Sep 11 2017,0.512853,0.522755,0.454543,0.490345,36973,3399520
Sep 10 2017,0.556710,0.556912,0.487999,0.513716,64626,3685440
Sep 09 2017,0.583090,0.594888,0.520934,0.558153,15146,3854990
Sep 08 2017,0.661409,0.690795,0.542764,0.581963,36974,4361210
Sep 07 2017,0.682809,0.684930,0.646663,0.661288,20499,4493000
Sep 06 2017,0.665376,0.725927,0.654870,0.685830,35156,4375250
Sep 05 2017,0.667790,0.688066,0.584415,0.654235,38573,4387480
Sep 04 2017,0.804865,0.805261,0.603633,0.664343,130122,5278440
Sep 03 2017,0.837558,0.885883,0.759005,0.808464,171267,5483530
Sep 02 2017,1.01,1.10,0.789470,0.837242,1059870,6625720
Sep 01 2017,0.582812,1.20,0.578400,1.03,414889,3796420
Aug 31 2017,0.532004,0.633394,0.506003,0.579011,116844,3456950
Aug 30 2017,0.548947,0.572993,0.507960,0.532740,42825,3560800
Aug 29 2017,0.588391,0.609985,0.550622,0.550622,68100,3807850
Aug 28 2017,0.559468,0.583696,0.523138,0.577828,113084,3610490
Aug 27 2017,0.494913,0.683910,0.488162,0.560609,249570,3184920
Aug 26 2017,0.502847,0.573502,0.476814,0.494833,91109,3232760
Aug 25 2017,0.549806,0.592627,0.430787,0.502009,134727,3530490
Aug 24 2017,0.574886,0.609541,0.491540,0.550717,155341,2242740
Aug 23 2017,0.578674,0.604875,0.548729,0.574643,73415,2257510
Aug 22 2017,0.644897,0.656110,0.527804,0.588026,248134,2515860
Aug 21 2017,1.05,1.07,0.608210,0.668144,1519930,4112010
Aug 20 2017,0.346100,1.23,0.332661,0.980174,3974100,1350200
Aug 19 2017,0.344970,0.375169,0.304500,0.347723,44321,1345790
Aug 18 2017,0.358087,0.370160,0.334706,0.345237,21447,1396960
Aug 17 2017,0.394163,0.401306,0.343998,0.360266,18400,1537700
Aug 16 2017,0.357571,0.489598,0.332671,0.395038,67274,1394950
Aug 15 2017,0.367338,0.392513,0.320232,0.357178,45750,1433050
Aug 14 2017,0.384413,0.391736,0.320115,0.366353,52141,1499660
Aug 13 2017,0.401617,0.440701,0.376697,0.384168,23801,1566780
Aug 12 2017,0.393654,0.427746,0.384550,0.401992,36791,1535710
Aug 11 2017,0.406760,0.415115,0.383526,0.393958,25909,1586840
Aug 10 2017,0.415713,0.463171,0.406784,0.406784,43445,1621770
Aug 09 2017,0.407724,0.441985,0.400857,0.412025,33122,1590600
Aug 08 2017,0.382471,0.489437,0.365253,0.404359,111020,1492090
Aug 07 2017,0.407561,0.409503,0.378203,0.383238,22985,1589970
Aug 06 2017,0.426543,0.438296,0.399907,0.408474,38660,1664020
Aug 05 2017,0.419259,0.466528,0.399046,0.426919,85709,1635600
Aug 04 2017,0.416370,0.448176,0.414812,0.414812,32397,1624330
Aug 03 2017,0.437556,0.502884,0.393488,0.416474,102405,1706980
Aug 02 2017,0.459199,0.479037,0.418469,0.436161,27177,1791420
Aug 01 2017,0.417625,0.480663,0.381648,0.459413,45996,1629230
Jul 31 2017,0.410483,0.438934,0.382189,0.417488,376784,1601370
Jul 30 2017,0.406142,0.432642,0.396136,0.412609,19187,1584430
Jul 29 2017,0.424777,0.516586,0.394078,0.399007,78121,1657130
Jul 28 2017,0.432653,0.456352,0.400436,0.426394,44246,1687860
Jul 27 2017,0.432678,0.450882,0.410008,0.431345,40438,1687960
Jul 26 2017,0.445197,0.466514,0.400201,0.431454,76974,1736790
Jul 25 2017,0.559631,0.570717,0.416232,0.440632,89899,2183220
Jul 24 2017,0.534996,0.587810,0.521665,0.561299,54633,2087120
Jul 23 2017,0.627796,0.632964,0.517161,0.535619,83235,2449150
Jul 22 2017,0.540522,0.632300,0.540522,0.604274,45649,2108670
Jul 21 2017,0.549738,0.608769,0.506220,0.540631,45541,2144630
Jul 20 2017,0.391269,0.621536,0.391269,0.545691,108331,1526410
Jul 19 2017,0.417711,0.487940,0.390417,0.392449,25602,1629560
Jul 18 2017,0.415766,0.452008,0.400906,0.417047,25239,1621980
Jul 17 2017,0.336871,0.479762,0.329417,0.417068,65672,1314200
Jul 16 2017,0.379165,0.390941,0.314035,0.337244,22694,1479190
Jul 15 2017,0.443719,0.443719,0.380308,0.380308,13078,1731030
Jul 14 2017,0.452501,0.469475,0.407240,0.437192,24451,1765290
Jul 13 2017,0.466206,0.506411,0.441576,0.452832,130598,1818750
Jul 12 2017,0.370402,0.496763,0.339088,0.468863,99976,1445000
Jul 11 2017,0.426987,0.455282,0.317250,0.372249,39723,1665750
Jul 10 2017,0.589395,0.599200,0.418378,0.428388,49051,2299340
Jul 09 2017,0.659267,0.672171,0.583544,0.583544,82315,2571920
Jul 08 2017,0.689320,0.689320,0.612614,0.658714,29514,2689160
Jul 07 2017,0.856860,0.862723,0.660971,0.688741,60914,3342760
Jul 06 2017,0.948783,0.949395,0.825923,0.852028,53355,3701370
Jul 05 2017,0.865066,1.03,0.828137,0.948287,728016,3374780
Jul 04 2017,0.895335,0.909071,0.845890,0.864212,107294,3492860
Jul 03 2017,0.835495,0.953637,0.769074,0.907826,92624,3259420
Jul 02 2017,0.812271,0.841186,0.728097,0.839457,46172,3168810
Jul 01 2017,0.941415,0.964926,0.768519,0.812360,93644,3672630
Jun 30 2017,1.05,1.05,0.938582,0.957297,75801,4077700
Jun 29 2017,1.06,1.16,1.02,1.04,133143,4144020
Jun 28 2017,1.10,1.16,1.01,1.07,160307,4272290
Jun 27 2017,1.19,1.23,1.01,1.07,625242,4654760
Jun 26 2017,1.31,1.37,1.05,1.19,223034,5107870
Jun 25 2017,1.50,1.55,1.30,1.32,182595,5869980
Jun 24 2017,1.73,1.80,1.48,1.51,508704,6765120
Jun 23 2017,1.38,1.84,1.34,1.72,1907420,5377230
Jun 22 2017,1.19,1.40,1.19,1.40,604264,4624220
Jun 21 2017,1.20,1.27,1.17,1.19,177293,4677590
Jun 20 2017,1.27,1.52,1.20,1.21,858035,4957500
Jun 19 2017,1.19,1.29,1.16,1.27,153935,4627620
Jun 18 2017,1.19,1.24,1.16,1.19,167796,4641940
Jun 17 2017,1.19,1.25,1.17,1.19,105516,4657810
Jun 16 2017,1.09,1.25,1.05,1.19,152577,4248810
Jun 15 2017,1.13,1.21,0.952231,1.09,72691,4421400
Jun 14 2017,1.30,1.37,1.06,1.13,115913,5086050
Jun 13 2017,1.16,1.39,1.14,1.30,282745,4506370
Jun 12 2017,1.42,1.46,1.10,1.16,157611,5540810
Jun 11 2017,1.29,1.44,1.25,1.42,228318,5014970
Jun 10 2017,1.39,1.49,1.25,1.28,315214,5433100
Jun 09 2017,1.23,1.46,1.21,1.39,310400,4797550
Jun 08 2017,1.16,1.26,1.10,1.24,228063,4509220
Jun 07 2017,1.29,1.41,1.09,1.14,270459,5050780
Jun 06 2017,1.33,1.34,1.16,1.29,203872,5181390
Jun 05 2017,1.19,1.37,1.18,1.31,401704,4637680
Jun 04 2017,1.08,1.54,1.06,1.19,612598,4210190
Jun 03 2017,1.04,1.26,1.04,1.08,459524,4055120
Jun 02 2017,1.00,1.07,0.966514,1.04,170197,3915460
Jun 01 2017,0.919861,1.04,0.919861,0.995100,201649,3588540
May 31 2017,0.966309,0.981573,0.872147,0.936479,193408,3769750
May 30 2017,1.05,1.16,0.956249,0.963167,449447,4105520
May 29 2017,1.22,1.29,1.02,1.08,1118410,4776600
May 28 2017,1.32,1.87,1.00,1.21,2896610,5148540
May 27 2017,0.761630,1.50,0.732855,1.32,3419900,2971260
May 26 2017,0.807315,0.882842,0.698256,0.759108,68111,3149480
May 25 2017,1.00,1.01,0.780642,0.813284,315332,3903010
May 24 2017,0.877790,1.24,0.877790,1.00,697985,3424420
May 23 2017,0.843030,0.908111,0.750581,0.876574,102026,3288810
May 22 2017,0.776983,0.926538,0.680347,0.875373,410664,3031150
May 21 2017,0.635219,0.774379,0.609919,0.774379,220190,2478100
May 20 2017,0.554135,0.663847,0.538335,0.643285,181934,2161780
May 19 2017,0.524063,0.582641,0.512848,0.554737,105131,2044460
May 18 2017,0.500661,0.541336,0.482193,0.523761,102716,1953170
May 17 2017,0.509343,0.536267,0.429968,0.496378,79312,1987040
May 16 2017,0.529930,0.535501,0.486920,0.509480,47113,2067350
May 15 2017,0.588347,0.588347,0.511063,0.530716,43242,2295250
May 14 2017,0.546780,0.616027,0.530331,0.573074,95657,2133090
May 13 2017,0.542589,0.689074,0.516465,0.538598,452767,2116740
May 12 2017,0.557317,0.577415,0.508079,0.543696,45234,2174190
May 11 2017,0.495408,0.600952,0.485106,0.556765,79479,1932680
May 10 2017,0.486574,0.509653,0.461425,0.494520,69587,1898210
May 09 2017,0.522468,0.536121,0.462532,0.485315,58789,2038240
May 08 2017,0.470309,0.586312,0.470309,0.522468,121125,1834760
May 07 2017,0.535213,0.595374,0.453729,0.470247,222762,2087960
May 06 2017,0.446336,0.536758,0.446026,0.536758,145482,1741240
May 05 2017,0.390384,0.485809,0.387625,0.451392,98350,1522960
May 04 2017,0.378017,0.398547,0.367803,0.385525,42560,1474710
May 03 2017,0.381792,0.390824,0.347099,0.376620,38322,1489440
May 02 2017,0.393796,0.406466,0.363358,0.381554,44226,1536270
May 01 2017,0.428341,0.445147,0.329615,0.393968,99610,1671040
Apr 30 2017,0.397819,0.453918,0.394353,0.428211,69015,1551960
Apr 29 2017,0.401526,0.407961,0.382801,0.401362,53724,1566430
Apr 28 2017,0.387610,0.403523,0.362683,0.401526,54182,1512140
Apr 27 2017,0.379078,0.390552,0.349210,0.387571,74176,1478850
Apr 26 2017,0.409955,0.431992,0.365995,0.379139,195034,1599310
Apr 25 2017,0.421901,0.437867,0.379578,0.409955,122914,1645910
Apr 24 2017,0.407433,0.455041,0.339448,0.421968,305818,1589470
Apr 23 2017,0.523477,0.534614,0.390541,0.405623,259278,2042180
Apr 22 2017,0.507510,0.586700,0.481857,0.523655,248448,1979890
Apr 21 2017,0.554290,0.563981,0.474715,0.500831,76918,2162380
Apr 20 2017,0.544679,0.566108,0.479907,0.555323,66702,2124890
Apr 19 2017,0.559531,0.591108,0.524805,0.544643,102766,2182830
Apr 18 2017,0.520843,0.570436,0.483197,0.559324,110170,2031900
Apr 17 2017,0.516429,0.563632,0.466372,0.520867,190045,2014680
Apr 16 2017,0.586235,0.602055,0.474212,0.508948,143020,2287010
Apr 15 2017,0.449690,0.612227,0.443572,0.578275,292590,1754320
Apr 14 2017,0.434345,0.522895,0.407462,0.454932,161728,1694460
Apr 13 2017,0.381838,0.458189,0.380492,0.433843,116120,1489620
Apr 12 2017,0.372228,0.400340,0.353348,0.381990,23279,1452130
Apr 11 2017,0.336207,0.404988,0.336012,0.373818,88793,1311600
Apr 10 2017,0.312960,0.360909,0.308071,0.336051,34841,1220910
Apr 09 2017,0.347088,0.364817,0.308506,0.313443,25514,1354050
Apr 08 2017,0.303177,0.354829,0.301471,0.346905,21666,1182750
Apr 07 2017,0.298107,0.321405,0.281275,0.304276,14899,1162970
Apr 06 2017,0.311005,0.342879,0.282042,0.299679,55386,1213290
Apr 05 2017,0.260852,0.341445,0.250872,0.286245,91249,1017630
Apr 04 2017,0.256367,0.265343,0.241727,0.260648,16759,1000130
Apr 03 2017,0.273024,0.279887,0.245860,0.256053,28848,1065120
Apr 02 2017,0.297913,0.306857,0.249764,0.272831,57628,1162210
Apr 01 2017,0.279748,0.302116,0.256335,0.297822,24563,1091350
Mar 31 2017,0.271115,0.312372,0.258291,0.279769,37863,1057670
Mar 30 2017,0.258901,0.360242,0.251385,0.271111,154144,1010020
Mar 29 2017,0.268098,0.300054,0.245939,0.258901,37775,1045900
Mar 28 2017,0.321501,0.351778,0.235802,0.268522,206566,1254230
Mar 27 2017,0.213978,0.328550,0.174002,0.328550,133250,834767
Mar 26 2017,0.228128,0.236540,0.194246,0.217452,35006,889968
Mar 25 2017,0.239857,0.257568,0.221860,0.233772,22674,935725
Mar 24 2017,0.278440,0.287771,0.239289,0.240099,27307,1086240
Mar 23 2017,0.251876,0.286213,0.234790,0.278477,12785,982614
Mar 22 2017,0.226439,0.266832,0.223318,0.251658,26856,883379
Mar 21 2017,0.209244,0.254127,0.204042,0.225273,31663,816298
Mar 20 2017,0.207458,0.239182,0.207458,0.208999,14945,809331
Mar 19 2017,0.201558,0.216833,0.194144,0.207358,21697,786314
Mar 18 2017,0.205655,0.241013,0.191531,0.200957,42729,802297
Mar 17 2017,0.190360,0.228916,0.172749,0.208681,49265,742629
Mar 16 2017,0.184071,0.191594,0.174923,0.191594,16278,718094
Mar 15 2017,0.179278,0.199325,0.164888,0.183818,31396,699396
Mar 14 2017,0.179439,0.205107,0.169980,0.179263,27403,700024
Mar 13 2017,0.160440,0.180945,0.159475,0.176251,16754,625905
Mar 12 2017,0.153019,0.163620,0.148762,0.160442,6804,596955
Mar 11 2017,0.145211,0.163410,0.135739,0.152917,6371,566494
Mar 10 2017,0.155806,0.158516,0.131829,0.146290,19718,607827
Mar 09 2017,0.146865,0.163919,0.145579,0.155674,9989,572947
Mar 08 2017,0.157687,0.168661,0.144890,0.146821,8311,615165
Mar 07 2017,0.154148,0.188865,0.150282,0.157760,16056,601359
Mar 06 2017,0.148814,0.161374,0.148814,0.154102,5136,580550
Mar 05 2017,0.140857,0.161304,0.137084,0.153651,10681,549508
Mar 04 2017,0.146917,0.147861,0.132599,0.140953,7544,573150
Mar 03 2017,0.153287,0.153754,0.140950,0.146637,9144,598000
Mar 02 2017,0.142026,0.154595,0.136831,0.153384,29918,554069
Mar 01 2017,0.163259,0.165212,0.134390,0.141773,27233,636903
Feb 28 2017,0.164309,0.177997,0.141289,0.163178,53045,640999
Feb 27 2017,0.189033,0.189033,0.158751,0.164074,86342,737452
Feb 26 2017,0.184227,0.256197,0.161861,0.189403,428707,718703
Feb 25 2017,0.132912,0.183197,0.110823,0.183197,68180,518514
