Date,Open,High,Low,Close,Volume,Market Cap
Dec 22 2017,1.13,1.14,0.743385,0.920280,4089970,26728600
Dec 21 2017,1.01,1.17,1.00,1.13,75465000,23786100
Dec 20 2017,1.14,1.14,0.974359,1.01,459809000,26973300
Dec 19 2017,1.23,1.34,1.10,1.14,61563400,-
Dec 18 2017,1.14,1.27,1.03,1.24,13223500,-
Dec 17 2017,1.10,1.20,1.05,1.13,43891200,-
Dec 16 2017,0.985912,1.12,0.973596,1.10,75421500,-
Dec 15 2017,1.02,1.05,0.893573,0.995082,44966900,-
Dec 14 2017,0.875653,1.13,0.827503,1.02,21419800,-
Dec 13 2017,0.793670,0.950585,0.759173,0.911195,3181330,-
Dec 12 2017,0.867258,0.923186,0.749934,0.796081,2271050,-
Dec 11 2017,0.781177,1.06,0.756222,0.883736,2124910,-
Dec 10 2017,0.887820,0.895880,0.726184,0.767329,2043310,-
Dec 09 2017,0.874562,0.982781,0.774391,0.851667,2960880,-
Dec 08 2017,0.860849,1.02,0.712996,0.864435,3155930,-
Dec 07 2017,0.980746,1.29,0.800961,0.902773,6617360,-
Dec 06 2017,0.728063,1.00,0.712779,0.968369,4176740,-
Dec 05 2017,0.769036,0.928577,0.698642,0.723617,3531950,-
Dec 04 2017,0.551567,0.793635,0.499546,0.763345,3120470,-
Dec 03 2017,0.495117,0.586868,0.485306,0.548473,991724,-
Dec 02 2017,0.543986,0.543986,0.478639,0.491734,589530,-
Dec 01 2017,0.511773,0.544206,0.464346,0.530721,920101,-
Nov 30 2017,0.498050,0.512899,0.415339,0.512899,1269870,-
Nov 29 2017,0.593575,0.611806,0.448098,0.483502,1319140,-
Nov 28 2017,0.619581,0.664740,0.563186,0.588503,1545010,-
Nov 27 2017,0.668319,0.712619,0.607591,0.614537,2078110,-
Nov 26 2017,0.614588,0.700066,0.600691,0.675202,2216150,-
Nov 25 2017,0.599747,0.645173,0.580389,0.608633,2187220,-
Nov 24 2017,0.578852,0.635831,0.513253,0.589494,2642030,-
Nov 23 2017,0.697416,0.697416,0.568330,0.574498,2294320,-
Nov 22 2017,0.742628,0.749194,0.603306,0.678658,3320740,-
Nov 21 2017,0.849282,0.849282,0.716632,0.741822,4216300,-
Nov 20 2017,0.832272,0.926106,0.808810,0.862408,70420700,-
Nov 19 2017,0.759889,0.940992,0.733613,0.847398,45826200,-
Nov 18 2017,0.661671,0.792759,0.660023,0.764769,30353600,-
Nov 17 2017,0.784440,0.784440,0.657398,0.666624,5407500,-
Nov 16 2017,0.767628,0.824993,0.728745,0.789569,3618180,-
Nov 15 2017,0.794574,0.882761,0.713185,0.735744,3045360,-
Nov 14 2017,1.04,1.06,0.791844,0.807821,4432070,-
Nov 13 2017,0.574201,1.05,0.554979,1.05,7497080,-
Nov 12 2017,0.717353,0.737721,0.519787,0.545519,2179930,-
Nov 11 2017,0.618857,0.799266,0.571730,0.708030,3340790,-
Nov 10 2017,0.923467,0.940390,0.588090,0.615093,3385290,-
Nov 09 2017,0.608016,1.22,0.543419,0.911958,15906600,-
Nov 08 2017,0.177761,0.633672,0.176942,0.633672,4441610,-
Nov 07 2017,0.180655,0.184784,0.173171,0.179749,294062,-
Nov 06 2017,0.166720,0.188537,0.149416,0.180945,39259,-
Nov 05 2017,0.143110,0.170494,0.141692,0.166351,2277,-
Nov 04 2017,0.163262,0.169193,0.137770,0.143381,7694,-
Nov 03 2017,0.154091,0.171727,0.149072,0.163688,9594,-
Nov 02 2017,0.134572,0.155647,0.130524,0.154293,6099,-
Nov 01 2017,0.119213,0.171347,0.117844,0.134422,42802,-
Oct 31 2017,0.125007,0.128170,0.110596,0.119300,5627,-
Oct 30 2017,0.117597,0.128355,0.106399,0.125433,5658,-
Oct 29 2017,0.095885,0.120759,0.095688,0.118284,11374,-
Oct 28 2017,0.102416,0.104318,0.094801,0.096017,1091,-
Oct 27 2017,0.100664,0.105535,0.095235,0.102137,29940,-
Oct 26 2017,0.102072,0.105386,0.095609,0.100641,38119,-
Oct 25 2017,0.098379,0.103070,0.098378,0.102084,26708,-
